arrival_ts,sequence,product,num_changes,arrival_dt,latency_ms,rolling_mean_ms,rolling_std_ms,z_score,is_spike,phase
1775324083.443351,154,BTC-USD,1,2026-04-04 17:34:43.443351030+00:00,0.13518333435058594,73.67606163024902,188.83586553776544,-0.3894433829424789,False,before
1775324083.443488,155,BTC-USD,15,2026-04-04 17:34:43.443487883+00:00,0.13685226440429688,73.6751937866211,188.83621029927133,-0.3894292382042183,False,before
1775324083.443626,156,BTC-USD,1,2026-04-04 17:34:43.443625927+00:00,0.1380443572998047,73.67444038391113,188.83650960070534,-0.389418318428486,False,before
1775324083.44375,157,BTC-USD,5,2026-04-04 17:34:43.443749905+00:00,0.1239776611328125,73.67271900177002,188.83719334011022,-0.3894822838643355,False,before
1775324083.443857,158,BTC-USD,7,2026-04-04 17:34:43.443856955+00:00,0.10704994201660156,73.67013931274414,188.83821790445145,-0.3895561512233136,False,before
1775324083.443962,159,BTC-USD,1,2026-04-04 17:34:43.443962097+00:00,0.10514259338378906,73.66928577423096,188.83855709947494,-0.3895610319776782,False,before
1775324083.444056,160,BTC-USD,1,2026-04-04 17:34:43.444056034+00:00,0.09393692016601562,73.66852283477783,188.8388603422439,-0.3896157061172061,False,before
1775324083.444166,161,BTC-USD,4,2026-04-04 17:34:43.444165945+00:00,0.10991096496582031,73.66804122924805,188.83905173910446,-0.38952817008374085,False,before
1775324083.444279,162,BTC-USD,7,2026-04-04 17:34:43.444278955+00:00,0.11301040649414062,73.66767883300781,188.83919575931677,-0.38950954080667705,False,before
1775324083.4444108,163,BTC-USD,2,2026-04-04 17:34:43.444410801+00:00,0.13184547424316406,73.66767406463623,188.83919765405915,-0.3894097703438976,False,before
1775324083.444512,164,BTC-USD,1,2026-04-04 17:34:43.444511890+00:00,0.1010894775390625,59.37333583831787,164.84214970183146,-0.35956972453945296,False,before
1775324083.444611,165,BTC-USD,9,2026-04-04 17:34:43.444611073+00:00,0.09918212890625,59.367780685424805,164.8441831130408,-0.3595431603181018,False,before
1775324083.444716,166,BTC-USD,31,2026-04-04 17:34:43.444715977+00:00,0.1049041748046875,59.36622142791748,164.8447547346499,-0.3594977428824202,False,before
1775324083.444862,167,BTC-USD,9,2026-04-04 17:34:43.444861889+00:00,0.14591217041015625,59.36263561248779,164.8460671901307,-0.35922436277341124,False,before
1775324083.444993,168,BTC-USD,15,2026-04-04 17:34:43.444993019+00:00,0.13113021850585938,59.3607234954834,164.84676768343724,-0.359300907802565,False,before
1775324083.445111,169,BTC-USD,16,2026-04-04 17:34:43.445111036+00:00,0.11801719665527344,59.35906410217285,164.84737577167525,-0.3593690626144418,False,before
1775324083.4452229,170,BTC-USD,14,2026-04-04 17:34:43.445222855+00:00,0.11181831359863281,59.357619285583496,164.84790531552102,-0.35939674731436616,False,before
1775324083.445357,171,BTC-USD,12,2026-04-04 17:34:43.445357084+00:00,0.1342296600341797,59.35624122619629,164.8484102014335,-0.3592513357805323,False,before
1775324083.44549,172,BTC-USD,6,2026-04-04 17:34:43.445489883+00:00,0.1327991485595703,59.35481548309326,164.84893254555118,-0.3592502263741952,False,before
1775324083.445599,173,BTC-USD,2,2026-04-04 17:34:43.445599079+00:00,0.10919570922851562,59.3530797958374,164.84956859386216,-0.3593814930299715,False,before
1775324083.445756,174,BTC-USD,1,2026-04-04 17:34:43.445755959+00:00,0.15687942504882812,59.35328006744385,164.8494952038627,-0.3590936118378114,False,before
1775324083.445878,175,BTC-USD,3,2026-04-04 17:34:43.445878029+00:00,0.1220703125,59.353060722351074,164.84957561638953,-0.359303262919424,False,before
1775324083.445977,176,BTC-USD,7,2026-04-04 17:34:43.445976973+00:00,0.09894371032714844,59.35231685638428,164.84984836333905,-0.35943844495057775,False,before
1775324083.446076,177,BTC-USD,1,2026-04-04 17:34:43.446075916+00:00,0.09894371032714844,59.35129642486572,164.85022246622728,-0.3594314392064442,False,before
1775324083.446183,178,BTC-USD,2,2026-04-04 17:34:43.446182966+00:00,0.10704994201660156,58.63026142120361,165.03247613566347,-0.3546163327942709,False,before
